date,label,category,url
2025-07-24,DOE Announces Site Selection for AI Data Center and Energy Infrastructure Development on Federal Lands,other,https://www.energy.gov/articles/doe-announces-site-selection-ai-data-center-and-energy-infrastructure-development-federal
2025-07-28,Energy Department Appoints Inaugural CEO to Lead Energy Security and Innovation Foundation,other,https://www.energy.gov/articles/energy-department-appoints-inaugural-ceo-lead-energy-security-and-innovation-foundation
2025-07-23,Department of Energy Terminates Taxpayer-Funded Financial Assistance for Grain Belt Express,other,https://www.energy.gov/articles/department-energy-terminates-taxpayer-funded-financial-assistance-grain-belt-express
2025-07-29,Secretary Wright Issues Emergency Order to Safeguard Mid-Atlantic Power Grid,other,https://www.energy.gov/articles/secretary-wright-issues-emergency-order-safeguard-mid-atlantic-power-grid
2025-07-28,"Department of Energy Issues Report Evaluating Impact of Greenhouse Gasses on U.S. Climate, Invites Public Comment",policy,https://www.energy.gov/articles/department-energy-issues-report-evaluating-impact-greenhouse-gasses-us-climate-invites
2023-01-01,Department of Energy,other,https://www.energy.gov/
2025-07-22,BWX Technologies Commissions New Furnace for Advanced Nuclear Fuel Production,other,https://www.energy.gov/ne/articles/bwx-technologies-commissions-new-furnace-advanced-nuclear-fuel-production
2025-07-21,Energy Department Announces Pilot Program to Build Advanced U.S. Nuclear Fuel Lines and End Foreign Dependence,other,https://www.energy.gov/articles/energy-department-announces-pilot-program-build-advanced-us-nuclear-fuel-lines-and-end
2025-07-01,Energy Department Announces First Microreactor Experiments in DOME Test Bed,policy,https://www.energy.gov/ne/articles/energy-department-announces-first-microreactor-experiments-dome-test-bed
2023-03-29,DOE Releases Strategy to Accelerate and Expand Domestic Offshore Wind Deployment,tech,https://www.energy.gov/articles/doe-releases-strategy-accelerate-and-expand-domestic-offshore-wind-deployment
2025-05-13,"Energy Department Slashes 47 Burdensome and Costly Regulations, Delivering First Milestone in America’s Biggest Deregulatory Effort",policy,https://www.energy.gov/articles/energy-department-slashes-47-burdensome-and-costly-regulations-delivering-first-milestone
2023-07-07,DOE Announces Plans to Purchase Another 6 Million Barrels of Oil for Strategic Petroleum Reserve Replenishment,other,https://www.energy.gov/articles/doe-announces-plans-purchase-another-6-million-barrels-oil-strategic-petroleum-reserve
2022-02-10,"President Biden, DOE and DOT Announce $5 Billion over Five Years for National EV Charging Network",other,https://www.energy.gov/articles/president-biden-doe-and-dot-announce-5-billion-over-five-years-national-ev-charging
2024-10-08,U.S. Department of Energy Issues Final HALEU Environmental Impact Statement,policy,https://www.energy.gov/ne/articles/us-department-energy-issues-final-haleu-environmental-impact-statement
2025-02-18,Energy Department Acts to Lower Prices and Increase Consumer Choice with Household Appliances,policy,https://www.energy.gov/articles/energy-department-acts-lower-prices-and-increase-consumer-choice-household-appliances
2022-10-19,DOE Announces Continued Action To Protect American Consumers And Address Global Supply Disruption Caused By Putin’s Energy Price Hike,policy,https://www.energy.gov/articles/doe-announces-continued-action-protect-american-consumers-and-address-global-supply
2025-05-30,"Secretary Wright Announces Termination of 24 Projects, Generating Over $3 Billion in Taxpayer Savings",other,https://www.energy.gov/articles/secretary-wright-announces-termination-24-projects-generating-over-3-billion-taxpayer
2024-10-28,DOE and NNSA Advance Historic Effort to Harness AI National Security Mission,other,https://www.energy.gov/articles/doe-and-nnsa-advance-historic-effort-harness-ai-national-security-mission
2024-06-05,DOE Announces First Projects Under New Cleanup to Clean Energy Initiative,other,https://www.energy.gov/articles/doe-announces-first-projects-under-new-cleanup-clean-energy-initiative
2023-01-01,LPO Offers Conditional Commitment to Redwood Materials to Produce Critical Electric Vehicle Battery Components From Recycled Materials,other,https://www.energy.gov/lpo/articles/lpo-offers-conditional-commitment-redwood-materials-produce-critical-electric-vehicle
2022-08-17,DOE Finds Record Production and Job Growth in U.S. Wind Power Sector,other,https://www.energy.gov/articles/doe-finds-record-production-and-job-growth-us-wind-power-sector
2023-12-01,"At COP28, Countries Launch Declaration to Triple Nuclear Energy Capacity by 2050, Recognizing the Key Role of Nuclear Energy in Reaching Net Zero",other,https://www.energy.gov/articles/cop28-countries-launch-declaration-triple-nuclear-energy-capacity-2050-recognizing-key
2022-12-07,U.S. Department of Energy Establishes High-Assay Low-Enriched Uranium Consortium,other,https://www.energy.gov/ne/articles/us-department-energy-establishes-high-assay-low-enriched-uranium-consortium
2025-06-06,"3 GAIN Vouchers Awarded to Companies Advancing Nuclear Fuel, Materials, and Sensors",other,https://www.energy.gov/ne/articles/3-gain-vouchers-awarded-companies-advancing-nuclear-fuel-materials-and-sensors
2023-07-10,DOE Welcomes New Biden-Harris Appointees and Announces Promotions,other,https://www.energy.gov/articles/doe-welcomes-new-biden-harris-appointees-and-announces-promotions-0
2024-07-16,"DOE Announces Roadmap for New Initiative for Artificial Intelligence in Science, Security and Technology",policy,https://www.energy.gov/articles/doe-announces-roadmap-new-initiative-artificial-intelligence-science-security-and
2025-05-02,DOE Announces New Leadership to Tackle Challenges of Growing Energy Demand,other,https://www.energy.gov/articles/doe-announces-new-leadership-tackle-challenges-growing-energy-demand
2023-01-01,U.S. Department of Energy Announces $25 Million to Advance the U.S. Aquaculture Industry for Biomass Production in the Deep Ocean | ARPA-E,other,https://arpa-e.energy.gov/news-and-events/news-and-insights/us-department-energy-announces-25-million-advance-us-aquaculture-industry-biomass-production-deep-ocean
2023-08-17,DOE Brings Partners Together for First-Ever Net Zero World Ministerial,other,https://www.energy.gov/articles/doe-brings-partners-together-first-ever-net-zero-world-ministerial
2024-12-05,The Second Cohort of the Critical Energy Cybersecurity Accelerator Program Continues System Visibility Evaluations,other,https://www.energy.gov/ceser/articles/second-cohort-critical-energy-cybersecurity-accelerator-program-continues-system
2022-02-11,DOE Establishes $6 Billion Program to Preserve America’s Clean Nuclear Energy Infrastructure,other,https://www.energy.gov/articles/doe-establishes-6-billion-program-preserve-americas-clean-nuclear-energy-infrastructure
2023-01-13,NNSA and DOE-EM complete first shipment of downblended surplus plutonium transuranic material to WIPP,other,https://www.energy.gov/nnsa/articles/nnsa-and-doe-em-complete-first-shipment-downblended-surplus-plutonium-transuranic
2022-12-16,NNSA issues draft Surplus Plutonium Disposition Program Environmental Impact Statement for public comment,policy,https://www.energy.gov/nnsa/articles/nnsa-issues-draft-surplus-plutonium-disposition-program-environmental-impact
2023-01-01,Announcing Grid Optimization (GO) Competition Challenge 2 Winners,other,https://arpa-e.energy.gov/news-and-events/news-and-insights/announcing-grid-optimization-go-competition-challenge-2-winners
2023-12-19,Energy Department Releases Guidance to Identify High-Priority Areas for Transmission Development,other,https://www.energy.gov/gdo/articles/energy-department-releases-guidance-identify-high-priority-areas-transmission
2022-03-01,U.S. and 30 Countries Commit to Release 60 Million Barrels of Oil From Strategic Reserves to Stabilize Global Energy Markets,other,https://www.energy.gov/articles/us-and-30-countries-commit-release-60-million-barrels-oil-strategic-reserves-stabilize
2023-01-01,Department of Energy Announces $24 Million for Research on Quantum Networks,other,https://www.energy.gov/science/articles/department-energy-announces-24-million-research-quantum-networks
2023-07-05,"U.S. Department of Energy Releases Plan to Ensure Free, Immediate, and Equitable Access to Federally Funded Research",other,https://www.energy.gov/articles/us-department-energy-releases-plan-ensure-free-immediate-and-equitable-access-federally
2017-09-12,Energy Department Invests Up to $50 Million to Improve the Resilience and Security of the Nation’s Critical Energy Infrastructure,other,https://www.energy.gov/articles/energy-department-invests-50-million-improve-resilience-and-security-nations-critical
2022-11-18,Biden-Harris Administration Announces $13 Billion To Modernize And Expand America's Power Grid,other,https://www.energy.gov/articles/biden-harris-administration-announces-13-billion-modernize-and-expand-americas-power-grid
2022-03-31,DOE Releases New Study Confirming Strong Performance of Energy Efficiency Loans,other,https://www.energy.gov/articles/doe-releases-new-study-confirming-strong-performance-energy-efficiency-loans
2021-04-20,Biden Administration Takes Bold Action to Protect Electricity Operations from Increasing Cyber Threats,policy,https://www.energy.gov/articles/biden-administration-takes-bold-action-protect-electricity-operations-increasing-cyber-0
2023-01-01,Department of Energy Invests $1 Million in Artificial Intelligence Research for Privacy-Sensitive Datasets,other,https://www.energy.gov/science/articles/department-energy-invests-1-million-artificial-intelligence-research-privacy
2025-04-25,DOE Awards New Contract for Oak Ridge Professional Support Services,policy,https://www.energy.gov/em/articles/doe-awards-new-contract-oak-ridge-professional-support-services
2025-05-29,DOE Announces New Supercomputer Powered by Dell and NVIDIA to Speed Scientific Discovery,other,https://www.energy.gov/articles/doe-announces-new-supercomputer-powered-dell-and-nvidia-speed-scientific-discovery
2023-09-29,DOE Announces $264 Million for Basic Research in Support of Energy Earthshots™,other,https://www.energy.gov/articles/doe-announces-264-million-basic-research-support-energy-earthshotstm
2025-07-25,Listing of Sandia National Laboratories-related web articles and press releases,other,https://www.energy.gov/nnsa/listings/listing-sandia-national-laboratories-related-web-articles-and-press-releases
2021-08-20,U.S. Department of Energy Announces $61 Million to Advance Breakthroughs in Quantum Information Science,other,https://www.energy.gov/articles/us-department-energy-announces-61-million-advance-breakthroughs-quantum-information
2025-07-24,DOE Announces Site Selection for AI Data Center and Energy Infrastructure Development on Federal Lands,other,https://www.energy.gov/articles/doe-announces-site-selection-ai-data-center-and-energy-infrastructure-development-federal
2025-07-28,Energy Department Appoints Inaugural CEO to Lead Energy Security and Innovation Foundation,other,https://www.energy.gov/articles/energy-department-appoints-inaugural-ceo-lead-energy-security-and-innovation-foundation
2025-07-23,Department of Energy Terminates Taxpayer-Funded Financial Assistance for Grain Belt Express,other,https://www.energy.gov/articles/department-energy-terminates-taxpayer-funded-financial-assistance-grain-belt-express
2025-07-29,Secretary Wright Issues Emergency Order to Safeguard Mid-Atlantic Power Grid,other,https://www.energy.gov/articles/secretary-wright-issues-emergency-order-safeguard-mid-atlantic-power-grid
2025-07-28,"Department of Energy Issues Report Evaluating Impact of Greenhouse Gasses on U.S. Climate, Invites Public Comment",policy,https://www.energy.gov/articles/department-energy-issues-report-evaluating-impact-greenhouse-gasses-us-climate-invites
2024-01-01,Department of Energy,other,https://www.energy.gov/
2025-07-22,BWX Technologies Commissions New Furnace for Advanced Nuclear Fuel Production,other,https://www.energy.gov/ne/articles/bwx-technologies-commissions-new-furnace-advanced-nuclear-fuel-production
2025-07-21,Energy Department Announces Pilot Program to Build Advanced U.S. Nuclear Fuel Lines and End Foreign Dependence,other,https://www.energy.gov/articles/energy-department-announces-pilot-program-build-advanced-us-nuclear-fuel-lines-and-end
2025-07-01,Energy Department Announces First Microreactor Experiments in DOME Test Bed,policy,https://www.energy.gov/ne/articles/energy-department-announces-first-microreactor-experiments-dome-test-bed
2023-03-29,DOE Releases Strategy to Accelerate and Expand Domestic Offshore Wind Deployment,tech,https://www.energy.gov/articles/doe-releases-strategy-accelerate-and-expand-domestic-offshore-wind-deployment
2025-05-13,"Energy Department Slashes 47 Burdensome and Costly Regulations, Delivering First Milestone in America’s Biggest Deregulatory Effort",policy,https://www.energy.gov/articles/energy-department-slashes-47-burdensome-and-costly-regulations-delivering-first-milestone
2023-07-07,DOE Announces Plans to Purchase Another 6 Million Barrels of Oil for Strategic Petroleum Reserve Replenishment,other,https://www.energy.gov/articles/doe-announces-plans-purchase-another-6-million-barrels-oil-strategic-petroleum-reserve
2022-02-10,"President Biden, DOE and DOT Announce $5 Billion over Five Years for National EV Charging Network",other,https://www.energy.gov/articles/president-biden-doe-and-dot-announce-5-billion-over-five-years-national-ev-charging
2024-10-08,U.S. Department of Energy Issues Final HALEU Environmental Impact Statement,policy,https://www.energy.gov/ne/articles/us-department-energy-issues-final-haleu-environmental-impact-statement
2025-02-18,Energy Department Acts to Lower Prices and Increase Consumer Choice with Household Appliances,policy,https://www.energy.gov/articles/energy-department-acts-lower-prices-and-increase-consumer-choice-household-appliances
2022-10-19,DOE Announces Continued Action To Protect American Consumers And Address Global Supply Disruption Caused By Putin’s Energy Price Hike,policy,https://www.energy.gov/articles/doe-announces-continued-action-protect-american-consumers-and-address-global-supply
2025-05-30,"Secretary Wright Announces Termination of 24 Projects, Generating Over $3 Billion in Taxpayer Savings",other,https://www.energy.gov/articles/secretary-wright-announces-termination-24-projects-generating-over-3-billion-taxpayer
2024-10-28,DOE and NNSA Advance Historic Effort to Harness AI National Security Mission,other,https://www.energy.gov/articles/doe-and-nnsa-advance-historic-effort-harness-ai-national-security-mission
2024-06-05,DOE Announces First Projects Under New Cleanup to Clean Energy Initiative,other,https://www.energy.gov/articles/doe-announces-first-projects-under-new-cleanup-clean-energy-initiative
2024-01-01,LPO Offers Conditional Commitment to Redwood Materials to Produce Critical Electric Vehicle Battery Components From Recycled Materials,other,https://www.energy.gov/lpo/articles/lpo-offers-conditional-commitment-redwood-materials-produce-critical-electric-vehicle
2020-10-05,Department of Energy Issues Report on Benefits of U.S. Oil and Natural Gas: Providing Energy Security and Supporting Our Quality of Life,other,https://www.energy.gov/articles/department-energy-issues-report-benefits-us-oil-and-natural-gas-providing-energy-security
2021-01-07,Department of Energy Releases ‘Energy for Space’ Strategy,other,https://www.energy.gov/articles/department-energy-releases-energy-space-strategy
2022-09-24,United States Announces $94 Billion Of Global Public Funding To Accelerate Clean Energy Worldwide,other,https://www.energy.gov/articles/united-states-announces-94-billion-global-public-funding-accelerate-clean-energy-worldwide
2022-08-17,DOE Finds Record Production and Job Growth in U.S. Wind Power Sector,other,https://www.energy.gov/articles/doe-finds-record-production-and-job-growth-us-wind-power-sector
2023-12-01,"At COP28, Countries Launch Declaration to Triple Nuclear Energy Capacity by 2050, Recognizing the Key Role of Nuclear Energy in Reaching Net Zero",other,https://www.energy.gov/articles/cop28-countries-launch-declaration-triple-nuclear-energy-capacity-2050-recognizing-key
2022-03-16,DOE Issues Two LNG Export Authorizations,other,https://www.energy.gov/articles/doe-issues-two-lng-export-authorizations
2022-12-07,U.S. Department of Energy Establishes High-Assay Low-Enriched Uranium Consortium,other,https://www.energy.gov/ne/articles/us-department-energy-establishes-high-assay-low-enriched-uranium-consortium
2021-08-26,DOE Announces $54 Million to Increase Energy Efficiency in Microelectronics Technologies,other,https://www.energy.gov/articles/doe-announces-54-million-increase-energy-efficiency-microelectronics-technologies
2023-08-17,DOE Brings Partners Together for First-Ever Net Zero World Ministerial,other,https://www.energy.gov/articles/doe-brings-partners-together-first-ever-net-zero-world-ministerial
2022-02-11,DOE Establishes $6 Billion Program to Preserve America’s Clean Nuclear Energy Infrastructure,other,https://www.energy.gov/articles/doe-establishes-6-billion-program-preserve-americas-clean-nuclear-energy-infrastructure
2023-01-13,NNSA and DOE-EM complete first shipment of downblended surplus plutonium transuranic material to WIPP,other,https://www.energy.gov/nnsa/articles/nnsa-and-doe-em-complete-first-shipment-downblended-surplus-plutonium-transuranic
2024-12-05,The Second Cohort of the Critical Energy Cybersecurity Accelerator Program Continues System Visibility Evaluations,other,https://www.energy.gov/ceser/articles/second-cohort-critical-energy-cybersecurity-accelerator-program-continues-system
2022-12-16,NNSA issues draft Surplus Plutonium Disposition Program Environmental Impact Statement for public comment,policy,https://www.energy.gov/nnsa/articles/nnsa-issues-draft-surplus-plutonium-disposition-program-environmental-impact
2024-01-01,Announcing Grid Optimization (GO) Competition Challenge 2 Winners,other,https://arpa-e.energy.gov/news-and-events/news-and-insights/announcing-grid-optimization-go-competition-challenge-2-winners
2023-12-19,Energy Department Releases Guidance to Identify High-Priority Areas for Transmission Development,other,https://www.energy.gov/gdo/articles/energy-department-releases-guidance-identify-high-priority-areas-transmission
2022-03-01,U.S. and 30 Countries Commit to Release 60 Million Barrels of Oil From Strategic Reserves to Stabilize Global Energy Markets,other,https://www.energy.gov/articles/us-and-30-countries-commit-release-60-million-barrels-oil-strategic-reserves-stabilize
2024-01-01,Department of Energy Announces $24 Million for Research on Quantum Networks,other,https://www.energy.gov/science/articles/department-energy-announces-24-million-research-quantum-networks
2023-07-05,"U.S. Department of Energy Releases Plan to Ensure Free, Immediate, and Equitable Access to Federally Funded Research",other,https://www.energy.gov/articles/us-department-energy-releases-plan-ensure-free-immediate-and-equitable-access-federally
2025-07-25,Listing of Sandia National Laboratories-related web articles and press releases,other,https://www.energy.gov/nnsa/listings/listing-sandia-national-laboratories-related-web-articles-and-press-releases
2023-06-13,DOE Announces 6 Million Barrels for Strategic Petroleum Reserve Replenishment,other,https://www.energy.gov/articles/doe-announces-6-million-barrels-strategic-petroleum-reserve-replenishment
2022-06-06,President Biden Invokes Defense Production Act to Accelerate Domestic Manufacturing of Clean Energy,policy,https://www.energy.gov/articles/president-biden-invokes-defense-production-act-accelerate-domestic-manufacturing-clean
2022-12-13,DOE National Laboratory Makes History by Achieving Fusion Ignition,tech,https://www.energy.gov/articles/doe-national-laboratory-makes-history-achieving-fusion-ignition
2023-12-14,DOE Launches New Office to Coordinate Critical and Emerging Technology,tech,https://www.energy.gov/articles/doe-launches-new-office-coordinate-critical-and-emerging-technology
2023-02-13,DOE Proposes New Standards for Residential Appliances to Save Americans Billions in Annual Energy and Water Bill,other,https://www.energy.gov/articles/doe-proposes-new-standards-residential-appliances-save-americans-billions-annual-energy
2023-01-13,NNSA to conduct aerial radiation assessment survey over Glendale Jan. 15-18,other,https://www.energy.gov/nnsa/articles/nnsa-conduct-aerial-radiation-assessment-survey-over-glendale-jan-15-18
2022-08-17,DOE Announces $45 Million for Next-Generation Cyber Tools to Protect the Power Grid,other,https://www.energy.gov/articles/doe-announces-45-million-next-generation-cyber-tools-protect-power-grid
2024-07-09,DOE Awards $2.4 Million Financial Assistance Grant to South Carolina Emergency Management Division,tech,https://www.energy.gov/em/articles/doe-awards-24-million-financial-assistance-grant-south-carolina-emergency-management
2024-11-01,DOE Awards West Valley Demonstration Project Phase 1B Contract,policy,https://www.energy.gov/em/articles/doe-awards-west-valley-demonstration-project-phase-1b-contract
2025-07-24,DOE Announces Site Selection for AI Data Center and Energy Infrastructure Development on Federal Lands,other,https://www.energy.gov/articles/doe-announces-site-selection-ai-data-center-and-energy-infrastructure-development-federal
2025-07-28,Energy Department Appoints Inaugural CEO to Lead Energy Security and Innovation Foundation,other,https://www.energy.gov/articles/energy-department-appoints-inaugural-ceo-lead-energy-security-and-innovation-foundation
2025-07-23,Department of Energy Terminates Taxpayer-Funded Financial Assistance for Grain Belt Express,other,https://www.energy.gov/articles/department-energy-terminates-taxpayer-funded-financial-assistance-grain-belt-express
2025-07-29,Secretary Wright Issues Emergency Order to Safeguard Mid-Atlantic Power Grid,other,https://www.energy.gov/articles/secretary-wright-issues-emergency-order-safeguard-mid-atlantic-power-grid
2025-07-28,"Department of Energy Issues Report Evaluating Impact of Greenhouse Gasses on U.S. Climate, Invites Public Comment",policy,https://www.energy.gov/articles/department-energy-issues-report-evaluating-impact-greenhouse-gasses-us-climate-invites
2025-01-01,Department of Energy,other,https://www.energy.gov/
2025-07-22,BWX Technologies Commissions New Furnace for Advanced Nuclear Fuel Production,other,https://www.energy.gov/ne/articles/bwx-technologies-commissions-new-furnace-advanced-nuclear-fuel-production
2025-07-21,Energy Department Announces Pilot Program to Build Advanced U.S. Nuclear Fuel Lines and End Foreign Dependence,other,https://www.energy.gov/articles/energy-department-announces-pilot-program-build-advanced-us-nuclear-fuel-lines-and-end
2025-07-01,Energy Department Announces First Microreactor Experiments in DOME Test Bed,policy,https://www.energy.gov/ne/articles/energy-department-announces-first-microreactor-experiments-dome-test-bed
2023-03-29,DOE Releases Strategy to Accelerate and Expand Domestic Offshore Wind Deployment,tech,https://www.energy.gov/articles/doe-releases-strategy-accelerate-and-expand-domestic-offshore-wind-deployment
2025-05-13,"Energy Department Slashes 47 Burdensome and Costly Regulations, Delivering First Milestone in America’s Biggest Deregulatory Effort",policy,https://www.energy.gov/articles/energy-department-slashes-47-burdensome-and-costly-regulations-delivering-first-milestone
2023-07-07,DOE Announces Plans to Purchase Another 6 Million Barrels of Oil for Strategic Petroleum Reserve Replenishment,other,https://www.energy.gov/articles/doe-announces-plans-purchase-another-6-million-barrels-oil-strategic-petroleum-reserve
2022-02-10,"President Biden, DOE and DOT Announce $5 Billion over Five Years for National EV Charging Network",other,https://www.energy.gov/articles/president-biden-doe-and-dot-announce-5-billion-over-five-years-national-ev-charging
2024-10-08,U.S. Department of Energy Issues Final HALEU Environmental Impact Statement,policy,https://www.energy.gov/ne/articles/us-department-energy-issues-final-haleu-environmental-impact-statement
2025-02-18,Energy Department Acts to Lower Prices and Increase Consumer Choice with Household Appliances,policy,https://www.energy.gov/articles/energy-department-acts-lower-prices-and-increase-consumer-choice-household-appliances
2022-10-19,DOE Announces Continued Action To Protect American Consumers And Address Global Supply Disruption Caused By Putin’s Energy Price Hike,policy,https://www.energy.gov/articles/doe-announces-continued-action-protect-american-consumers-and-address-global-supply
2025-05-30,"Secretary Wright Announces Termination of 24 Projects, Generating Over $3 Billion in Taxpayer Savings",other,https://www.energy.gov/articles/secretary-wright-announces-termination-24-projects-generating-over-3-billion-taxpayer
2024-10-28,DOE and NNSA Advance Historic Effort to Harness AI National Security Mission,other,https://www.energy.gov/articles/doe-and-nnsa-advance-historic-effort-harness-ai-national-security-mission
2024-06-05,DOE Announces First Projects Under New Cleanup to Clean Energy Initiative,other,https://www.energy.gov/articles/doe-announces-first-projects-under-new-cleanup-clean-energy-initiative
2025-01-01,LPO Offers Conditional Commitment to Redwood Materials to Produce Critical Electric Vehicle Battery Components From Recycled Materials,other,https://www.energy.gov/lpo/articles/lpo-offers-conditional-commitment-redwood-materials-produce-critical-electric-vehicle
2022-09-24,United States Announces $94 Billion Of Global Public Funding To Accelerate Clean Energy Worldwide,other,https://www.energy.gov/articles/united-states-announces-94-billion-global-public-funding-accelerate-clean-energy-worldwide
2022-08-17,DOE Finds Record Production and Job Growth in U.S. Wind Power Sector,other,https://www.energy.gov/articles/doe-finds-record-production-and-job-growth-us-wind-power-sector
2023-12-01,"At COP28, Countries Launch Declaration to Triple Nuclear Energy Capacity by 2050, Recognizing the Key Role of Nuclear Energy in Reaching Net Zero",other,https://www.energy.gov/articles/cop28-countries-launch-declaration-triple-nuclear-energy-capacity-2050-recognizing-key
2022-03-16,DOE Issues Two LNG Export Authorizations,other,https://www.energy.gov/articles/doe-issues-two-lng-export-authorizations
2022-12-07,U.S. Department of Energy Establishes High-Assay Low-Enriched Uranium Consortium,other,https://www.energy.gov/ne/articles/us-department-energy-establishes-high-assay-low-enriched-uranium-consortium
2025-06-06,"3 GAIN Vouchers Awarded to Companies Advancing Nuclear Fuel, Materials, and Sensors",other,https://www.energy.gov/ne/articles/3-gain-vouchers-awarded-companies-advancing-nuclear-fuel-materials-and-sensors
2021-08-26,DOE Announces $54 Million to Increase Energy Efficiency in Microelectronics Technologies,other,https://www.energy.gov/articles/doe-announces-54-million-increase-energy-efficiency-microelectronics-technologies
2024-07-16,"DOE Announces Roadmap for New Initiative for Artificial Intelligence in Science, Security and Technology",policy,https://www.energy.gov/articles/doe-announces-roadmap-new-initiative-artificial-intelligence-science-security-and
2025-05-02,DOE Announces New Leadership to Tackle Challenges of Growing Energy Demand,other,https://www.energy.gov/articles/doe-announces-new-leadership-tackle-challenges-growing-energy-demand
2025-01-01,U.S. Department of Energy Announces $25 Million to Advance the U.S. Aquaculture Industry for Biomass Production in the Deep Ocean | ARPA-E,other,https://arpa-e.energy.gov/news-and-events/news-and-insights/us-department-energy-announces-25-million-advance-us-aquaculture-industry-biomass-production-deep-ocean
2023-08-17,DOE Brings Partners Together for First-Ever Net Zero World Ministerial,other,https://www.energy.gov/articles/doe-brings-partners-together-first-ever-net-zero-world-ministerial
2022-02-11,DOE Establishes $6 Billion Program to Preserve America’s Clean Nuclear Energy Infrastructure,other,https://www.energy.gov/articles/doe-establishes-6-billion-program-preserve-americas-clean-nuclear-energy-infrastructure
2023-01-13,NNSA and DOE-EM complete first shipment of downblended surplus plutonium transuranic material to WIPP,other,https://www.energy.gov/nnsa/articles/nnsa-and-doe-em-complete-first-shipment-downblended-surplus-plutonium-transuranic
2024-12-05,The Second Cohort of the Critical Energy Cybersecurity Accelerator Program Continues System Visibility Evaluations,other,https://www.energy.gov/ceser/articles/second-cohort-critical-energy-cybersecurity-accelerator-program-continues-system
2022-12-16,NNSA issues draft Surplus Plutonium Disposition Program Environmental Impact Statement for public comment,policy,https://www.energy.gov/nnsa/articles/nnsa-issues-draft-surplus-plutonium-disposition-program-environmental-impact
2025-01-01,Announcing Grid Optimization (GO) Competition Challenge 2 Winners,other,https://arpa-e.energy.gov/news-and-events/news-and-insights/announcing-grid-optimization-go-competition-challenge-2-winners
2023-12-19,Energy Department Releases Guidance to Identify High-Priority Areas for Transmission Development,other,https://www.energy.gov/gdo/articles/energy-department-releases-guidance-identify-high-priority-areas-transmission
2022-03-01,U.S. and 30 Countries Commit to Release 60 Million Barrels of Oil From Strategic Reserves to Stabilize Global Energy Markets,other,https://www.energy.gov/articles/us-and-30-countries-commit-release-60-million-barrels-oil-strategic-reserves-stabilize
2025-01-01,Department of Energy Announces $24 Million for Research on Quantum Networks,other,https://www.energy.gov/science/articles/department-energy-announces-24-million-research-quantum-networks
2023-07-05,"U.S. Department of Energy Releases Plan to Ensure Free, Immediate, and Equitable Access to Federally Funded Research",other,https://www.energy.gov/articles/us-department-energy-releases-plan-ensure-free-immediate-and-equitable-access-federally
2017-09-12,Energy Department Invests Up to $50 Million to Improve the Resilience and Security of the Nation’s Critical Energy Infrastructure,other,https://www.energy.gov/articles/energy-department-invests-50-million-improve-resilience-and-security-nations-critical
2022-11-18,Biden-Harris Administration Announces $13 Billion To Modernize And Expand America's Power Grid,other,https://www.energy.gov/articles/biden-harris-administration-announces-13-billion-modernize-and-expand-americas-power-grid
2021-04-20,Biden Administration Takes Bold Action to Protect Electricity Operations from Increasing Cyber Threats,policy,https://www.energy.gov/articles/biden-administration-takes-bold-action-protect-electricity-operations-increasing-cyber-0
2025-01-01,Department of Energy Invests $1 Million in Artificial Intelligence Research for Privacy-Sensitive Datasets,other,https://www.energy.gov/science/articles/department-energy-invests-1-million-artificial-intelligence-research-privacy
2025-04-25,DOE Awards New Contract for Oak Ridge Professional Support Services,policy,https://www.energy.gov/em/articles/doe-awards-new-contract-oak-ridge-professional-support-services
2025-05-29,DOE Announces New Supercomputer Powered by Dell and NVIDIA to Speed Scientific Discovery,other,https://www.energy.gov/articles/doe-announces-new-supercomputer-powered-dell-and-nvidia-speed-scientific-discovery
2023-09-29,DOE Announces $264 Million for Basic Research in Support of Energy Earthshots™,other,https://www.energy.gov/articles/doe-announces-264-million-basic-research-support-energy-earthshotstm
2025-07-25,Listing of Sandia National Laboratories-related web articles and press releases,other,https://www.energy.gov/nnsa/listings/listing-sandia-national-laboratories-related-web-articles-and-press-releases
2021-03-19,DOE Announces $30 Million for Research to Secure Domestic Supply Chain of Critical Elements and Minerals,other,https://www.energy.gov/articles/doe-announces-30-million-research-secure-domestic-supply-chain-critical-elements-and
